record_id,employee_id,task_id,task_type,task_priority,required_skills,experience_years,skill_match_score,employee_workload_percent,employee_availability,employee_performance_score,employee_location,task_location,distance_km,similar_tasks_completed,similar_tasks_success_rate,estimated_effort_hours,sla_hours,remaining_sla_hours,workload_capacity,availability_score,location_compatibility,experience_performance_score,sla_urgency_ratio,workload_effort_ratio,actual_completion_hours,sla_met,task_success
H000001,E0031,T00824,Machine Learning,High,Python|TensorFlow,8,0.0,34,1,8.19,Delhi,Chennai,167.5,38,0.7335,8.1,19.2,14.73,66,1,0.8325,65.52,1.8184,4.1975,12.69,1,1
H000002,E0062,T00807,Software Development,Medium,Python,4,0.0,76,1,9.19,Kolkata,Kolkata,0.0,5,0.6984,8.7,22.5,24.36,24,1,1.0,36.76,2.7997,8.7356,16.45,1,1
H000003,E0024,T01079,Cloud/DevOps,Medium,AWS|Kubernetes,9,0.0,90,1,8.24,Chennai,Delhi,327.7,21,0.7821,3.4,12.0,8.01,10,1,0.6723,74.16,2.3568,26.4706,5.09,1,1
H000004,E0139,T00395,Machine Learning,High,SQL|Python,11,0.0,40,1,7.48,Pune,Coimbatore,136.7,15,0.749,7.6,18.1,11.21,60,1,0.8633,82.28,1.4749,5.2632,9.97,1,1
H000005,E0196,T03238,Machine Learning,High,Python|Machine Learning,9,0.5,71,1,6.77,Kolkata,Remote,0.0,6,0.6915,4.9,8.3,5.98,29,1,1.0,60.93,1.2205,14.4898,7.32,0,1
H000006,E0141,T03839,Data Engineering,Medium,PostgreSQL|AWS|Python,9,0.0,31,1,7.68,Hyderabad,Coimbatore,676.0,5,0.8527,13.1,30.0,23.59,69,1,0.324,69.12,1.8005,2.3664,20.87,1,1
H000007,E0118,T02517,Testing,Medium,JavaScript|Python|Java,5,0.3333,84,1,8.53,Kolkata,Remote,0.0,28,0.7907,8.3,19.3,8.12,16,1,1.0,42.65,0.9789,10.1205,13.44,0,1
H000008,E0131,T03886,Testing,Medium,JavaScript,6,0.0,43,1,8.85,Mumbai,Remote,0.0,40,0.7688,9.2,24.0,19.05,57,1,1.0,53.1,2.0708,4.6739,11.98,1,1
H000009,E0111,T00932,Cybersecurity,Low,Cybersecurity,7,0.0,62,1,8.12,Mumbai,Pune,267.4,32,0.8385,4.6,24.0,24.83,38,1,0.7326,56.84,5.3979,13.4783,7.82,1,1
H000010,E0141,T02422,Testing,High,SQL|Selenium|Python,9,0.0,28,1,7.68,Hyderabad,Remote,0.0,29,0.8796,3.5,9.1,7.06,72,1,1.0,69.12,2.0177,8.0,5.15,1,1
H000011,E0212,T01811,Database,Medium,SQL|PostgreSQL,10,0.0,57,1,8.86,Chennai,Chennai,0.0,1,0.8941,11.6,26.9,22.13,43,1,1.0,88.6,1.9076,4.9138,16.02,1,1
H000012,E0127,T02268,Database,Medium,MongoDB,11,0.0,61,1,7.87,Pune,Bangalore,234.4,39,0.6924,5.8,24.4,15.65,39,1,0.7656,86.57,2.6976,10.5172,9.16,1,1
H000013,E0014,T03632,Cloud/DevOps,Medium,AWS|Kubernetes,2,0.0,95,1,8.33,Bangalore,Bangalore,0.0,24,0.7406,10.9,40.0,36.49,5,1,1.0,16.66,3.3478,8.7156,19.13,1,1
H000014,E0138,T03390,Data Engineering,High,PostgreSQL,8,0.0,58,1,6.89,Delhi,Kolkata,466.9,8,0.7488,3.0,6.7,6.61,42,1,0.5331,55.12,2.2037,19.3333,5.29,0,0
H000015,E0065,T04350,Data Engineering,Medium,Python|AWS,12,0.0,52,1,7.13,Hyderabad,Hyderabad,0.0,4,0.7157,7.8,18.6,15.05,48,1,1.0,85.56,1.9298,6.6667,11.86,1,1
H000016,E0132,T00457,Machine Learning,Medium,PyTorch|Deep Learning|Python,5,0.0,33,1,7.83,Coimbatore,Coimbatore,0.0,9,0.7476,6.2,14.1,14.53,67,1,1.0,39.15,2.3436,5.3226,8.99,1,1
H000017,E0114,T04676,Bug Fix,Medium,Python,9,0.0,53,1,8.4,Pune,Bangalore,559.6,25,0.8985,12.8,43.7,35.67,47,1,0.4404,75.6,2.787,4.1406,17.56,0,0
H000018,E0300,T02413,Data Engineering,High,AWS,12,0.0,65,0,8.59,Mumbai,Remote,0.0,44,0.947,7.4,20.5,9.76,35,0,1.0,103.08,1.3188,8.7838,22.84,0,1
H000019,E0225,T00458,Support,High,Python|Linux,7,0.0,61,1,7.95,Mumbai,Mumbai,0.0,27,0.863,10.1,25.5,16.59,39,1,1.0,55.65,1.6429,6.0396,17.13,0,1
H000020,E0280,T02974,Cybersecurity,High,Azure|Python,4,0.0,77,1,7.56,Kolkata,Kolkata,0.0,13,0.7181,11.4,21.7,22.22,23,1,1.0,30.24,1.9489,6.7544,20.84,1,1
H000021,E0027,T02497,Database,Medium,SQL|PostgreSQL|Java,11,0.0,33,1,8.0,Kolkata,Pune,737.5,23,0.8286,6.0,28.1,29.98,67,1,0.2625,88.0,4.9969,5.5,7.54,1,1
H000022,E0178,T03147,Data Engineering,High,Azure|PostgreSQL,3,0.0,53,1,8.07,Coimbatore,Chennai,251.0,43,0.7121,9.1,26.8,18.56,47,1,0.749,24.21,2.0401,5.8242,14.42,1,1
H000023,E0235,T00919,Cloud/DevOps,Low,AWS|Azure|Kubernetes,7,0.3333,79,0,6.54,Mumbai,Hyderabad,118.7,2,0.7227,4.0,24.0,18.43,21,0,0.8813,45.78,4.6071,19.75,13.67,1,1
H000024,E0099,T03009,Bug Fix,Medium,SQL|Java,2,0.0,56,1,7.81,Coimbatore,Remote,0.0,40,0.7027,5.6,14.4,11.83,44,1,1.0,15.62,2.1131,10.0,8.67,0,0
H000025,E0186,T02778,Support,Low,SQL|Python,11,0.0,21,1,8.4,Hyderabad,Chennai,369.5,22,0.9527,4.3,24.7,25.38,79,1,0.6305,92.4,5.9014,4.8837,6.72,1,1
H000026,E0263,T02115,Cloud/DevOps,High,AWS|Python|Kubernetes,2,0.0,39,1,8.24,Mumbai,Chennai,448.0,4,0.7474,3.7,9.6,7.23,61,1,0.552,16.48,1.9542,10.5405,6.44,1,1
H000027,E0098,T00083,Support,Low,AWS|SQL,6,0.0,17,1,7.52,Chennai,Remote,0.0,17,0.7852,5.1,31.7,26.38,83,1,1.0,45.12,5.1735,3.3333,8.18,1,1
H000028,E0067,T01015,Software Development,Low,Python|Spring Boot,3,0.0,13,1,7.39,Pune,Hyderabad,73.6,15,0.6888,5.1,25.2,13.24,87,1,0.9264,22.17,2.5951,2.549,8.67,1,1
H000029,E0290,T00113,Database,Medium,Java|SQL|MongoDB,1,0.3333,9,1,6.33,Kolkata,Remote,0.0,15,0.501,3.4,12.0,8.24,91,1,1.0,6.33,2.4222,2.6471,5.46,1,1
H000030,E0291,T00131,Database,High,MongoDB|PostgreSQL,8,0.0,64,1,9.82,Kolkata,Pune,55.2,21,0.9145,6.0,15.6,10.86,36,1,0.9448,78.56,1.8099,10.6667,9.14,1,1
H000031,E0281,T04002,Testing,Medium,JavaScript|Selenium,6,0.0,24,1,7.44,Chennai,Mumbai,698.0,38,0.7976,7.7,21.4,8.45,76,1,0.302,44.64,1.0979,3.1169,12.44,0,1
H000032,E0289,T00057,Database,Medium,Python,1,1.0,22,1,9.23,Delhi,Hyderabad,347.8,4,0.7855,6.5,27.1,26.35,78,1,0.6522,9.23,4.0533,3.3846,7.18,1,1
H000033,E0099,T04274,Testing,High,Selenium|Python,2,0.0,49,1,7.81,Coimbatore,Delhi,460.4,34,0.7193,7.4,11.5,9.42,51,1,0.5396,15.62,1.2734,6.6216,14.19,0,1
H000034,E0100,T03186,Bug Fix,Medium,C++,1,0.0,59,0,7.45,Coimbatore,Bangalore,822.4,4,0.7019,6.4,13.4,9.57,41,0,0.1776,7.45,1.4956,9.2188,22.16,0,0
H000035,E0293,T02451,Cybersecurity,Medium,AWS|Azure|Cybersecurity,9,0.3333,74,0,7.88,Delhi,Chennai,169.3,24,0.7754,5.1,24.7,14.02,26,0,0.8307,70.92,2.7492,14.5098,14.74,0,0
H000036,E0279,T00721,Database,Medium,MongoDB|Java|Python,5,0.0,19,1,8.3,Chennai,Remote,0.0,6,0.7397,4.1,19.2,17.32,81,1,1.0,41.5,4.2246,4.6341,5.75,1,1
H000037,E0242,T00291,Software Development,High,Java,7,0.0,28,1,7.8,Kolkata,Chennai,462.6,30,0.7529,5.9,14.8,8.99,72,1,0.5374,54.6,1.5244,4.7458,7.69,1,1
H000038,E0042,T04453,Database,Medium,SQL|MongoDB,10,0.0,66,1,7.79,Kolkata,Remote,0.0,34,0.8724,4.6,22.7,17.62,34,1,1.0,77.9,3.8308,14.3478,7.81,1,1
H000039,E0189,T00205,Cybersecurity,High,Linux,8,0.0,29,1,7.49,Pune,Hyderabad,496.4,36,0.7997,5.9,12.9,9.04,71,1,0.5036,59.92,1.5318,4.9153,7.87,1,1
H000040,E0087,T00180,Machine Learning,Medium,Deep Learning|Python,11,0.0,48,1,8.67,Chennai,Mumbai,714.1,42,0.9379,6.4,14.3,14.04,52,1,0.2859,95.37,2.1937,7.5,9.86,0,1
H000041,E0090,T04472,Cloud/DevOps,Medium,AWS|Linux,3,0.5,51,1,8.07,Delhi,Mumbai,82.4,19,0.7957,4.6,12.7,7.61,49,1,0.9176,24.21,1.6553,11.087,6.13,1,1
H000042,E0184,T03605,Cloud/DevOps,Medium,AWS|Python|Docker,4,0.0,36,1,7.68,Hyderabad,Hyderabad,0.0,13,0.7361,5.9,14.2,9.63,64,1,1.0,30.72,1.6329,6.1017,8.39,0,0
H000043,E0257,T04674,Machine Learning,Medium,SQL,11,1.0,17,1,7.84,Hyderabad,Pune,284.4,18,0.7965,9.5,46.4,26.76,83,1,0.7156,86.24,2.8165,1.7895,9.53,1,1
H000044,E0033,T00345,Data Engineering,Critical,PostgreSQL|AWS,1,0.0,37,1,8.7,Bangalore,Hyderabad,287.2,38,0.8224,4.0,5.0,3.3,63,1,0.7128,8.7,0.8245,9.25,6.47,0,1
H000045,E0097,T00469,Software Development,Critical,Python|Spring Boot|React,5,0.6667,29,1,8.19,Coimbatore,Coimbatore,0.0,36,0.8442,9.0,12.0,4.93,71,1,1.0,40.95,0.5477,3.2222,11.54,0,1
H000046,E0257,T02285,Cloud/DevOps,Medium,Python,11,1.0,21,1,7.84,Hyderabad,Hyderabad,0.0,4,0.7963,4.4,16.8,12.13,79,1,1.0,86.24,2.7579,4.7727,4.03,1,1
H000047,E0021,T01765,Bug Fix,High,Java|Spring Boot|JavaScript,1,0.0,12,1,7.66,Hyderabad,Chennai,355.3,10,0.6453,6.4,12.5,5.7,88,1,0.6447,7.66,0.8914,1.875,9.44,0,0
H000048,E0018,T01168,Cloud/DevOps,Medium,Linux,4,0.0,71,1,8.28,Hyderabad,Remote,0.0,29,0.8467,5.4,21.6,20.66,29,1,1.0,33.12,3.8259,13.1481,10.42,0,0
H000049,E0012,T00197,Software Development,Critical,JavaScript|React|Java,3,0.0,88,1,7.52,Pune,Delhi,233.2,17,0.7627,9.4,12.6,12.91,12,1,0.7668,22.56,1.3729,9.3617,20.04,0,0
H000050,E0022,T03067,Testing,High,Java,7,1.0,28,1,7.44,Pune,Bangalore,149.8,23,0.79,7.4,12.7,8.85,72,1,0.8502,52.08,1.1963,3.7838,7.52,1,1
