employee_id,experience_years,skills,current_workload_percent,availability,location,historical_performance_score,max_hours_per_day
E0001,4,Python|Git|Spring Boot,84,0,Delhi,8.41,7
E0002,9,SQL|JavaScript|Node.js,18,0,Delhi,9.41,8
E0003,5,Cybersecurity|Spring Boot|Python|React|Linux|Azure,58,0,Coimbatore,9.25,8
E0004,1,Docker|Selenium|Spring Boot,73,0,Delhi,9.76,7
E0005,1,AWS|PostgreSQL|Selenium|Docker|Cybersecurity|JavaScript|SQL,25,0,Coimbatore,7.52,8
E0006,11,Power BI|PostgreSQL|Docker|React|JavaScript,49,0,Bangalore,7.1,9
E0007,11,React|Power BI|Kubernetes|Spring Boot,56,0,Hyderabad,8.0,7
E0008,12,Kubernetes|Spring Boot|SQL|JavaScript|Cybersecurity,55,0,Kolkata,7.71,8
E0009,5,Deep Learning|Spring Boot|Git|Node.js|Spark|Selenium,66,1,Hyderabad,8.19,8
E0010,10,TensorFlow|SQL|Java|Machine Learning|Deep Learning|React|Linux,23,1,Delhi,7.41,9
E0011,5,PyTorch|Spring Boot|Spark|Python|Machine Learning|MongoDB,52,1,Bangalore,8.28,8
E0012,3,Git|Spring Boot|PyTorch,79,0,Pune,7.52,9
E0013,10,JavaScript|Deep Learning|Docker|React|Spark|PyTorch|Python,61,1,Hyderabad,8.13,7
E0014,2,Cybersecurity|SQL|Git|TensorFlow,83,0,Bangalore,8.33,8
E0015,12,React|Spring Boot|PyTorch|Selenium|Linux|JavaScript|Spark,66,1,Kolkata,7.76,9
E0016,10,Machine Learning|Node.js|C++|SQL|Azure|Python,85,0,Hyderabad,7.1,7
E0017,4,C++|PostgreSQL|Java,57,0,Hyderabad,8.37,8
E0018,4,JavaScript|Spark|Deep Learning|Cybersecurity|PostgreSQL|TensorFlow,75,1,Hyderabad,8.28,7
E0019,7,MongoDB|Linux|Docker,21,0,Chennai,6.93,8
E0020,3,Machine Learning|Node.js|JavaScript|Spark|Power BI,69,0,Pune,8.99,8
E0021,1,SQL|Power BI|Spark|Machine Learning,16,0,Hyderabad,7.66,8
E0022,7,TensorFlow|Git|JavaScript|Kubernetes|Java|React,15,1,Pune,7.44,8
E0023,12,Linux|C++|Git|Spark|MongoDB,42,0,Chennai,7.71,8
E0024,9,Java|Cybersecurity|TensorFlow,82,0,Chennai,8.24,9
E0025,2,React|SQL|Selenium,30,0,Chennai,7.95,9
E0026,10,Linux|MongoDB|Cybersecurity,81,1,Pune,7.71,8
E0027,11,Node.js|Spring Boot|Kubernetes|Deep Learning|MongoDB,24,0,Kolkata,8.0,9
E0028,6,Machine Learning|SQL|Spark|JavaScript|PyTorch|Spring Boot|Deep Learning,23,0,Mumbai,8.82,8
E0029,10,Power BI|Spark|C++|AWS,82,0,Pune,9.55,7
E0030,3,Spring Boot|Machine Learning|Git|Spark,49,1,Hyderabad,8.06,8
